Camera,Burrow,On,Off
152,60,11-Jun-2013 17:10,13-Jun-2013 10:06
152,60,13-Jun-2013 10:37,27-Jun-2013 05:01
152,60,27-Jun-2013 05:08,04-Jul-2013 18:26
153,178,29-Apr-2013 00:00,12-May-2013 00:00
153,178,12-May-2013 00:00,13-May-2013 14:20
153,339,13-May-2013 14:21,16-May-2013 00:00
153,224,06-Jun-2013 09:53,11-Jun-2013 08:44
153,224,11-Jun-2013 08:45,11-Jun-2013 17:00
153,224,11-Jun-2013 17:10,13-Jun-2013 10:05
153,224,13-Jun-2013 10:38,16-Jun-2013 13:58
154,241,29-Apr-2013 00:00,12-May-2013 00:00
154,241,14-May-2013 00:00,18-May-2013 10:22
154,331,26-May-2013 16:31,30-May-2013 15:59
154,380,11-Jun-2013 17:10,13-Jun-2013 10:05
154,380,13-Jun-2013 10:38,15-Jun-2013 11:40
154,211,15-Jun-2013 11:40,15-Jun-2013 11:40
155,106,14-May-2013 00:00,16-May-2013 00:00
155,106,11-Jun-2013 17:10,13-Jun-2013 10:06
155,106,13-Jun-2013 10:37,20-Jun-2013 10:28
155,86,20-Jun-2013 10:29,27-Jun-2013 05:06
156,168,29-Apr-2013 00:00,10-May-2013 20:16
156,217,14-May-2013 00:00,16-May-2013 00:00
156,217,11-Jun-2013 17:10,13-Jun-2013 10:05
156,217,13-Jun-2013 10:38,28-Jun-2013 05:00
156,217,29-Jun-2013 05:45,29-Jun-2013 05:45
157,318,29-Apr-2013 00:00,13-May-2013 16:24
157,64,13-May-2013 16:24,13-May-2013 16:24
157,64,11-Jun-2013 17:10,13-Jun-2013 10:06
157,64,13-Jun-2013 10:37,15-Jun-2013 12:02
157,411,15-Jun-2013 12:04,27-Jun-2013 05:06
158,19,29-Apr-2013 00:00,03-May-2013 15:33
158,260,03-May-2013 15:34,12-May-2013 00:00
158,260,14-May-2013 00:00,16-May-2013 00:00
158,406,06-Jun-2013 10:41,11-Jun-2013 07:52
158,406,11-Jun-2013 08:44,11-Jun-2013 17:01
158,406,11-Jun-2013 17:10,13-Jun-2013 10:05
159,121,29-Apr-2013 00:00,29-Apr-2013 17:31
159,304,29-Apr-2013 17:33,29-Apr-2013 17:33
159,304,14-May-2013 00:00,16-May-2013 00:00
159,148,11-Jun-2013 17:10,13-Jun-2013 10:06
159,148,13-Jun-2013 10:37,15-Jun-2013 11:50
159,241,15-Jun-2013 11:51,27-Jun-2013 05:06
160,264,29-Apr-2013 00:00,01-May-2013 10:13
160,310,01-May-2013 10:14,09-May-2013 12:23
160,23,09-May-2013 12:24,12-May-2013 00:00
160,23,14-May-2013 00:00,18-May-2013 11:05
160,389,13-Jun-2013 10:38,21-Jun-2013 06:41
161,151,29-Apr-2013 00:00,01-May-2013 11:17
161,6,01-May-2013 11:17,03-May-2013 15:13
161,152,03-May-2013 15:14,12-May-2013 00:00
161,152,14-May-2013 00:00,16-May-2013 00:00
161,152,11-Jun-2013 17:10,13-Jun-2013 10:06
161,152,13-Jun-2013 10:37,17-Jun-2013 10:38
161,72,17-Jun-2013 10:40,20-Jun-2013 12:26
161,72,20-Jun-2013 12:37,27-Jun-2013 05:06
161,72,27-Jun-2013 05:10,02-Jul-2013 17:47
